gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,total_score,performance_category
female,group B,bachelor's degree,standard,none,72,72,74,218,Medium
female,group C,some college,standard,completed,69,90,88,247,High
female,group B,master's degree,standard,none,90,95,93,278,High
male,group A,associate's degree,free/reduced,none,47,57,44,148,Low
male,group C,some college,standard,none,76,78,75,229,Medium
female,group B,associate's degree,standard,none,71,83,78,232,Medium
female,group B,some college,standard,completed,88,95,92,275,High
male,group B,some college,free/reduced,none,40,43,39,122,Low
male,group D,high school,free/reduced,completed,64,64,67,195,Medium
female,group B,high school,free/reduced,none,38,60,50,148,Low
male,group C,associate's degree,standard,none,58,54,52,164,Low
male,group D,associate's degree,standard,none,40,52,43,135,Low
female,group B,high school,standard,none,65,81,73,219,Medium
male,group A,some college,standard,completed,78,72,70,220,Medium
female,group A,master's degree,standard,none,50,53,58,161,Low
female,group C,some high school,standard,none,69,75,78,222,Medium
male,group C,high school,standard,none,88,89,86,263,High
female,group B,some high school,free/reduced,none,18,32,28,78,Low
male,group C,master's degree,free/reduced,completed,46,42,46,134,Low
female,group C,associate's degree,free/reduced,none,54,58,61,173,Low
male,group D,high school,standard,none,66,69,63,198,Medium
female,group B,some college,free/reduced,completed,65,75,70,210,Medium
male,group D,some college,standard,none,44,54,53,151,Low
female,group C,some high school,standard,none,69,73,73,215,Medium
male,group D,bachelor's degree,free/reduced,completed,74,71,80,225,Medium
male,group A,master's degree,free/reduced,none,73,74,72,219,Medium
male,group B,some college,standard,none,69,54,55,178,Medium
female,group C,bachelor's degree,standard,none,67,69,75,211,Medium
male,group C,high school,standard,none,70,70,65,205,Medium
female,group D,master's degree,standard,none,62,70,75,207,Medium
female,group D,some college,standard,none,69,74,74,217,Medium
female,group B,some college,standard,none,63,65,61,189,Medium
female,group E,master's degree,free/reduced,none,56,72,65,193,Medium
male,group D,some college,standard,none,40,42,38,120,Low
male,group E,some college,standard,none,97,87,82,266,High
male,group E,associate's degree,standard,completed,81,81,79,241,High
female,group D,associate's degree,standard,none,74,81,83,238,High
female,group D,some high school,free/reduced,none,50,64,59,173,Low
female,group D,associate's degree,free/reduced,completed,75,90,88,253,High
male,group B,associate's degree,free/reduced,none,57,56,57,170,Low
male,group C,associate's degree,free/reduced,none,55,61,54,170,Low
female,group C,associate's degree,standard,none,58,73,68,199,Medium
female,group B,associate's degree,standard,none,53,58,65,176,Medium
male,group B,some college,free/reduced,completed,59,65,66,190,Medium
female,group E,associate's degree,free/reduced,none,50,56,54,160,Low
male,group B,associate's degree,standard,none,65,54,57,176,Medium
female,group A,associate's degree,standard,completed,55,65,62,182,Medium
female,group C,high school,standard,none,66,71,76,213,Medium
female,group D,associate's degree,free/reduced,completed,57,74,76,207,Medium
male,group C,high school,standard,completed,82,84,82,248,High
male,group E,some college,standard,none,53,55,48,156,Low
male,group E,associate's degree,free/reduced,completed,77,69,68,214,Medium
male,group C,some college,standard,none,53,44,42,139,Low
male,group D,high school,standard,none,88,78,75,241,High
female,group C,some high school,free/reduced,completed,71,84,87,242,High
female,group C,high school,free/reduced,none,33,41,43,117,Low
female,group E,associate's degree,standard,completed,82,85,86,253,High
male,group D,associate's degree,standard,none,52,55,49,156,Low
male,group D,some college,standard,completed,58,59,58,175,Medium
female,group C,some high school,free/reduced,none,0,17,10,27,Low
male,group E,bachelor's degree,free/reduced,completed,79,74,72,225,Medium
male,group A,some high school,free/reduced,none,39,39,34,112,Low
male,group A,associate's degree,free/reduced,none,62,61,55,178,Medium
female,group C,associate's degree,standard,none,69,80,71,220,Medium
female,group D,some high school,standard,none,59,58,59,176,Medium
male,group B,some high school,standard,none,67,64,61,192,Medium
male,group D,some high school,free/reduced,none,45,37,37,119,Low
female,group C,some college,standard,none,60,72,74,206,Medium
male,group B,associate's degree,free/reduced,none,61,58,56,175,Medium
female,group C,associate's degree,standard,none,39,64,57,160,Low
female,group D,some college,free/reduced,completed,58,63,73,194,Medium
male,group D,some college,standard,completed,63,55,63,181,Medium
female,group A,associate's degree,free/reduced,none,41,51,48,140,Low
male,group C,some high school,free/reduced,none,61,57,56,174,Low
male,group C,some high school,standard,none,49,49,41,139,Low
male,group B,associate's degree,free/reduced,none,44,41,38,123,Low
male,group E,some high school,standard,none,30,26,22,78,Low
male,group A,bachelor's degree,standard,completed,80,78,81,239,High
female,group D,some high school,standard,completed,61,74,72,207,Medium
female,group E,master's degree,standard,none,62,68,68,198,Medium
female,group B,associate's degree,standard,none,47,49,50,146,Low
male,group B,high school,free/reduced,none,49,45,45,139,Low
male,group A,some college,free/reduced,completed,50,47,54,151,Low
male,group E,associate's degree,standard,none,72,64,63,199,Medium
male,group D,high school,free/reduced,none,42,39,34,115,Low
female,group C,some college,standard,none,73,80,82,235,High
female,group C,some college,free/reduced,none,76,83,88,247,High
female,group D,associate's degree,standard,none,71,71,74,216,Medium
female,group A,some college,standard,none,58,70,67,195,Medium
female,group D,some high school,standard,none,73,86,82,241,High
female,group C,bachelor's degree,standard,none,65,72,74,211,Medium
male,group C,high school,free/reduced,none,27,34,36,97,Low
male,group C,high school,standard,none,71,79,71,221,Medium
male,group C,associate's degree,free/reduced,completed,43,45,50,138,Low
female,group B,some college,standard,none,79,86,92,257,High
male,group C,associate's degree,free/reduced,completed,78,81,82,241,High
male,group B,some high school,standard,completed,65,66,62,193,Medium
female,group E,some college,standard,completed,63,72,70,205,Medium
female,group D,some college,free/reduced,none,58,67,62,187,Medium
female,group D,bachelor's degree,standard,none,65,67,62,194,Medium
male,group B,some college,standard,none,79,67,67,213,Medium
male,group D,bachelor's degree,standard,completed,68,74,74,216,Medium
female,group D,associate's degree,standard,none,85,91,89,265,High
male,group B,high school,standard,completed,60,44,47,151,Low
male,group C,some college,standard,completed,98,86,90,274,High
female,group C,some college,standard,none,58,67,72,197,Medium
female,group D,master's degree,standard,none,87,100,100,287,High
male,group E,associate's degree,standard,completed,66,63,64,193,Medium
female,group B,associate's degree,free/reduced,none,52,76,70,198,Medium
female,group B,some high school,standard,none,70,64,72,206,Medium
female,group D,associate's degree,free/reduced,completed,77,89,98,264,High
male,group C,high school,standard,none,62,55,49,166,Low
male,group A,associate's degree,standard,none,54,53,47,154,Low
female,group D,some college,standard,none,51,58,54,163,Low
female,group E,bachelor's degree,standard,completed,99,100,100,299,High
male,group C,high school,standard,none,84,77,74,235,High
female,group B,bachelor's degree,free/reduced,none,75,85,82,242,High
female,group D,bachelor's degree,standard,none,78,82,79,239,High
female,group D,some high school,standard,none,51,63,61,175,Medium
female,group C,some college,standard,none,55,69,65,189,Medium
female,group C,bachelor's degree,standard,completed,79,92,89,260,High
male,group B,associate's degree,standard,completed,91,89,92,272,High
female,group C,some college,standard,completed,88,93,93,274,High
male,group D,high school,free/reduced,none,63,57,56,176,Medium
male,group E,some college,standard,none,83,80,73,236,High
female,group B,high school,standard,none,87,95,86,268,High
male,group B,some high school,standard,none,72,68,67,207,Medium
male,group D,some college,standard,completed,65,77,74,216,Medium
male,group D,master's degree,standard,none,82,82,74,238,High
female,group A,bachelor's degree,standard,none,51,49,51,151,Low
male,group D,master's degree,standard,none,89,84,82,255,High
male,group C,some high school,free/reduced,completed,53,37,40,130,Low
male,group E,some college,free/reduced,completed,87,74,70,231,Medium
female,group C,some college,standard,completed,75,81,84,240,High
male,group D,bachelor's degree,free/reduced,completed,74,79,75,228,Medium
male,group C,bachelor's degree,standard,none,58,55,48,161,Low
male,group B,some high school,standard,completed,51,54,41,146,Low
male,group E,high school,standard,none,70,55,56,181,Medium
female,group C,associate's degree,standard,none,59,66,67,192,Medium
male,group D,some college,standard,completed,71,61,69,201,Medium
female,group D,some high school,standard,none,76,72,71,219,Medium
female,group C,some college,free/reduced,none,59,62,64,185,Medium
female,group E,some college,free/reduced,completed,42,55,54,151,Low
male,group A,high school,standard,none,57,43,47,147,Low
male,group D,some college,standard,none,88,73,78,239,High
female,group C,some college,free/reduced,none,22,39,33,94,Low
male,group B,some high school,standard,none,88,84,75,247,High
male,group C,associate's degree,free/reduced,none,73,68,66,207,Medium
female,group D,bachelor's degree,standard,completed,68,75,81,224,Medium
male,group E,associate's degree,free/reduced,completed,100,100,93,293,High
male,group A,some high school,standard,completed,62,67,69,198,Medium
male,group A,bachelor's degree,standard,none,77,67,68,212,Medium
female,group B,associate's degree,standard,completed,59,70,66,195,Medium
male,group D,bachelor's degree,standard,none,54,49,47,150,Low
male,group D,some high school,standard,none,62,67,61,190,Medium
female,group C,some college,standard,completed,70,89,88,247,High
female,group E,high school,free/reduced,completed,66,74,78,218,Medium
male,group B,some college,free/reduced,none,60,60,60,180,Medium
female,group B,associate's degree,standard,completed,61,86,87,234,High
male,group D,associate's degree,free/reduced,none,66,62,64,192,Medium
male,group B,associate's degree,free/reduced,completed,82,78,74,234,High
female,group E,some college,free/reduced,completed,75,88,85,248,High
male,group B,master's degree,free/reduced,none,49,53,52,154,Low
male,group C,high school,standard,none,52,53,49,154,Low
female,group E,master's degree,standard,none,81,92,91,264,High
female,group C,bachelor's degree,standard,completed,96,100,100,296,High
male,group C,high school,free/reduced,completed,53,51,51,155,Low
female,group B,master's degree,free/reduced,completed,58,76,78,212,Medium
female,group B,high school,standard,completed,68,83,78,229,Medium
female,group C,some college,free/reduced,completed,67,75,70,212,Medium
male,group A,high school,standard,completed,72,73,74,219,Medium
male,group E,some high school,standard,none,94,88,78,260,High
female,group D,some college,standard,none,79,86,81,246,High
female,group C,associate's degree,standard,none,63,67,70,200,Medium
female,group C,bachelor's degree,free/reduced,completed,43,51,54,148,Low
female,group C,master's degree,standard,completed,81,91,87,259,High
female,group B,high school,free/reduced,completed,46,54,58,158,Low
female,group C,associate's degree,standard,completed,71,77,77,225,Medium
female,group B,master's degree,free/reduced,completed,52,70,62,184,Medium
female,group D,some high school,standard,completed,97,100,100,297,High
male,group C,master's degree,free/reduced,completed,62,68,75,205,Medium
female,group C,some college,free/reduced,none,46,64,66,176,Medium
female,group E,high school,standard,none,50,50,47,147,Low
female,group D,associate's degree,standard,none,65,69,70,204,Medium
male,group C,some high school,free/reduced,completed,45,52,49,146,Low
male,group C,associate's degree,free/reduced,completed,65,67,65,197,Medium
male,group E,high school,standard,none,80,76,65,221,Medium
male,group D,some high school,standard,completed,62,66,68,196,Medium
male,group B,some high school,free/reduced,none,48,52,45,145,Low
female,group C,bachelor's degree,standard,none,77,88,87,252,High
female,group E,associate's degree,standard,none,66,65,69,200,Medium
male,group D,some college,standard,completed,76,83,79,238,High
female,group B,some high school,standard,none,62,64,66,192,Medium
male,group D,some college,standard,completed,77,62,62,201,Medium
female,group C,master's degree,standard,completed,69,84,85,238,High
male,group D,associate's degree,standard,none,61,55,52,168,Low
male,group C,some high school,free/reduced,completed,59,69,65,193,Medium
male,group E,high school,free/reduced,none,55,56,51,162,Low
female,group B,some college,free/reduced,none,45,53,55,153,Low
female,group B,bachelor's degree,free/reduced,none,78,79,76,233,High
female,group C,associate's degree,standard,completed,67,84,86,237,High
female,group D,some college,free/reduced,none,65,81,77,223,Medium
male,group C,associate's degree,standard,none,69,77,69,215,Medium
female,group B,associate's degree,standard,none,57,69,68,194,Medium
male,group C,some college,standard,none,59,41,42,142,Low
male,group D,some high school,standard,completed,74,71,78,223,Medium
male,group E,bachelor's degree,standard,none,82,62,62,206,Medium
male,group E,high school,standard,completed,81,80,76,237,High
female,group B,some college,free/reduced,none,74,81,76,231,Medium
female,group B,some college,free/reduced,none,58,61,66,185,Medium
male,group D,some high school,free/reduced,completed,80,79,79,238,High
male,group C,some college,free/reduced,none,35,28,27,90,Low
female,group C,high school,free/reduced,none,42,62,60,164,Low
male,group C,associate's degree,free/reduced,completed,60,51,56,167,Low
male,group E,high school,standard,completed,87,91,81,259,High
male,group B,some high school,standard,completed,84,83,75,242,High
female,group E,associate's degree,free/reduced,completed,83,86,88,257,High
female,group C,high school,free/reduced,none,34,42,39,115,Low
male,group B,high school,free/reduced,none,66,77,70,213,Medium
male,group B,some high school,standard,completed,61,56,56,173,Low
female,group D,high school,standard,completed,56,68,74,198,Medium
male,group B,associate's degree,standard,none,87,85,73,245,High
female,group C,some high school,free/reduced,none,55,65,62,182,Medium
male,group D,some high school,standard,none,86,80,75,241,High
female,group B,associate's degree,standard,completed,52,66,73,191,Medium
female,group E,master's degree,free/reduced,none,45,56,54,155,Low
female,group C,some college,standard,none,72,72,71,215,Medium
male,group D,high school,standard,none,57,50,54,161,Low
male,group A,some high school,free/reduced,none,68,72,64,204,Medium
female,group C,some college,standard,completed,88,95,94,277,High
male,group D,some college,standard,none,76,64,66,206,Medium
male,group C,associate's degree,standard,none,46,43,42,131,Low
female,group B,bachelor's degree,standard,none,67,86,83,236,High
male,group E,some high school,standard,none,92,87,78,257,High
male,group C,bachelor's degree,standard,completed,83,82,84,249,High
male,group D,associate's degree,standard,none,80,75,77,232,Medium
male,group D,bachelor's degree,free/reduced,none,63,66,67,196,Medium
female,group D,some high school,standard,completed,64,60,74,198,Medium
male,group B,some college,standard,none,54,52,51,157,Low
male,group C,associate's degree,standard,none,84,80,80,244,High
male,group D,high school,free/reduced,completed,73,68,66,207,Medium
female,group E,bachelor's degree,standard,none,80,83,83,246,High
female,group D,high school,standard,none,56,52,55,163,Low
male,group E,some college,standard,none,59,51,43,153,Low
male,group D,some high school,standard,none,75,74,69,218,Medium
male,group C,associate's degree,standard,none,85,76,71,232,Medium
male,group E,associate's degree,standard,none,89,76,74,239,High
female,group B,high school,standard,completed,58,70,68,196,Medium
female,group B,high school,standard,none,65,64,62,191,Medium
male,group C,high school,standard,none,68,60,53,181,Medium
male,group A,some high school,standard,completed,47,49,49,145,Low
female,group D,some college,free/reduced,none,71,83,83,237,High
female,group B,some high school,standard,completed,60,70,70,200,Medium
male,group D,master's degree,standard,none,80,80,72,232,Medium
male,group D,high school,standard,none,54,52,52,158,Low
female,group E,some college,standard,none,62,73,70,205,Medium
female,group C,associate's degree,free/reduced,none,64,73,68,205,Medium
male,group C,associate's degree,standard,completed,78,77,77,232,Medium
female,group B,some college,standard,none,70,75,78,223,Medium
female,group C,master's degree,free/reduced,completed,65,81,81,227,Medium
female,group C,some high school,free/reduced,completed,64,79,77,220,Medium
male,group C,some college,standard,completed,79,79,78,236,High
female,group C,some high school,free/reduced,none,44,50,51,145,Low
female,group E,high school,standard,none,99,93,90,282,High
male,group D,high school,standard,none,76,73,68,217,Medium
male,group D,some high school,free/reduced,none,59,42,41,142,Low
female,group C,bachelor's degree,standard,none,63,75,81,219,Medium
female,group D,high school,standard,none,69,72,77,218,Medium
female,group D,associate's degree,standard,completed,88,92,95,275,High
female,group E,some college,free/reduced,none,71,76,70,217,Medium
male,group C,bachelor's degree,standard,none,69,63,61,193,Medium
male,group C,some college,standard,none,58,49,42,149,Low
female,group D,associate's degree,free/reduced,none,47,53,58,158,Low
female,group D,some college,standard,none,65,70,71,206,Medium
male,group B,some college,standard,completed,88,85,76,249,High
male,group C,bachelor's degree,standard,none,83,78,73,234,High
female,group C,some high school,standard,completed,85,92,93,270,High
female,group E,high school,standard,completed,59,63,75,197,Medium
female,group C,some high school,free/reduced,none,65,86,80,231,Medium
male,group B,bachelor's degree,free/reduced,none,73,56,57,186,Medium
male,group D,high school,standard,none,53,52,42,147,Low
male,group D,high school,standard,none,45,48,46,139,Low
female,group D,bachelor's degree,free/reduced,none,73,79,84,236,High
female,group D,some college,free/reduced,completed,70,78,78,226,Medium
female,group B,some high school,standard,none,37,46,46,129,Low
male,group B,associate's degree,standard,completed,81,82,82,245,High
male,group E,associate's degree,standard,completed,97,82,88,267,High
female,group B,some high school,standard,none,67,89,82,238,High
male,group B,bachelor's degree,free/reduced,none,88,75,76,239,High
male,group E,some high school,standard,completed,77,76,77,230,Medium
male,group C,associate's degree,standard,none,76,70,68,214,Medium
male,group D,some high school,standard,none,86,73,70,229,Medium
male,group C,some high school,standard,completed,63,60,57,180,Medium
female,group E,bachelor's degree,standard,none,65,73,75,213,Medium
male,group D,high school,free/reduced,completed,78,77,80,235,High
male,group B,associate's degree,free/reduced,none,67,62,60,189,Medium
male,group A,some high school,standard,completed,46,41,43,130,Low
male,group E,associate's degree,standard,completed,71,74,68,213,Medium
male,group C,high school,free/reduced,completed,40,46,50,136,Low
male,group D,associate's degree,free/reduced,none,90,87,75,252,High
male,group A,some college,free/reduced,completed,81,78,81,240,High
male,group D,some high school,free/reduced,none,56,54,52,162,Low
female,group C,associate's degree,standard,completed,67,84,81,232,Medium
male,group B,associate's degree,standard,none,80,76,64,220,Medium
female,group C,associate's degree,standard,completed,74,75,83,232,Medium
male,group A,some college,standard,none,69,67,69,205,Medium
male,group E,some college,standard,completed,99,87,81,267,High
male,group C,some high school,standard,none,51,52,44,147,Low
female,group B,associate's degree,free/reduced,none,53,71,67,191,Medium
female,group D,high school,free/reduced,none,49,57,52,158,Low
female,group B,associate's degree,standard,none,73,76,80,229,Medium
male,group B,bachelor's degree,standard,none,66,60,57,183,Medium
male,group D,bachelor's degree,standard,completed,67,61,68,196,Medium
female,group C,associate's degree,free/reduced,completed,68,67,69,204,Medium
female,group C,bachelor's degree,standard,completed,59,64,75,198,Medium
male,group C,high school,standard,none,71,66,65,202,Medium
female,group D,master's degree,standard,completed,77,82,91,250,High
male,group C,associate's degree,standard,none,83,72,78,233,High
male,group B,bachelor's degree,standard,none,63,71,69,203,Medium
female,group D,associate's degree,free/reduced,none,56,65,63,184,Medium
female,group C,high school,free/reduced,completed,67,79,84,230,Medium
female,group E,high school,standard,none,75,86,79,240,High
female,group C,some college,standard,none,71,81,80,232,Medium
female,group C,some high school,free/reduced,none,43,53,53,149,Low
female,group C,high school,free/reduced,none,41,46,43,130,Low
female,group C,some college,standard,none,82,90,94,266,High
male,group C,some college,standard,none,61,61,62,184,Medium
male,group A,some college,free/reduced,none,28,23,19,70,Low
male,group C,associate's degree,standard,completed,82,75,77,234,High
female,group B,some high school,standard,none,41,55,51,147,Low
male,group C,high school,standard,none,71,60,61,192,Medium
male,group C,associate's degree,standard,none,47,37,35,119,Low
