gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,total_score,performance_category
female,group C,some college,free/reduced,completed,63,73,71,207,Medium
female,group B,bachelor's degree,free/reduced,none,77,85,87,249,High
male,group C,some college,standard,none,73,74,61,208,Medium
male,group D,associate's degree,standard,completed,81,72,77,230,Medium
female,group C,high school,free/reduced,none,66,76,68,210,Medium
male,group D,associate's degree,free/reduced,none,52,57,50,159,Low
female,group C,some college,standard,none,69,78,76,223,Medium
female,group C,associate's degree,standard,completed,65,84,84,233,High
female,group D,high school,standard,completed,69,77,78,224,Medium
female,group B,some college,standard,completed,50,64,66,180,Medium
female,group E,some college,standard,completed,73,78,76,227,Medium
female,group C,some high school,standard,completed,70,82,76,228,Medium
male,group D,associate's degree,free/reduced,none,81,75,78,234,High
male,group D,some college,free/reduced,none,63,61,60,184,Medium
female,group D,high school,standard,none,67,72,74,213,Medium
male,group B,high school,standard,none,60,68,60,188,Medium
male,group B,high school,standard,none,62,55,54,171,Low
female,group C,some high school,free/reduced,completed,29,40,44,113,Low
male,group B,some college,standard,completed,62,66,68,196,Medium
female,group E,master's degree,standard,completed,94,99,100,293,High
male,group E,some college,standard,completed,85,75,68,228,Medium
male,group D,associate's degree,free/reduced,none,77,78,73,228,Medium
male,group A,high school,free/reduced,none,53,58,44,155,Low
male,group E,some college,free/reduced,none,93,90,83,266,High
female,group C,associate's degree,standard,none,49,53,53,155,Low
female,group E,associate's degree,free/reduced,none,73,76,78,227,Medium
female,group C,bachelor's degree,free/reduced,completed,66,74,81,221,Medium
female,group D,associate's degree,standard,none,77,77,73,227,Medium
female,group C,some high school,standard,none,49,63,56,168,Low
female,group D,some college,free/reduced,none,79,89,86,254,High
female,group C,associate's degree,standard,completed,75,82,90,247,High
female,group A,bachelor's degree,standard,none,59,72,70,201,Medium
female,group D,associate's degree,standard,completed,57,78,79,214,Medium
male,group C,high school,free/reduced,none,66,66,59,191,Medium
female,group E,bachelor's degree,standard,completed,79,81,82,242,High
female,group B,some high school,standard,none,57,67,72,196,Medium
male,group A,bachelor's degree,standard,completed,87,84,87,258,High
female,group D,some college,standard,none,63,64,67,194,Medium
female,group B,some high school,free/reduced,completed,59,63,64,186,Medium
male,group A,bachelor's degree,free/reduced,none,62,72,65,199,Medium
male,group D,high school,standard,none,46,34,36,116,Low
male,group C,some college,standard,none,66,59,52,177,Medium
male,group D,high school,standard,none,89,87,79,255,High
female,group D,associate's degree,free/reduced,completed,42,61,58,161,Low
male,group C,some college,standard,completed,93,84,90,267,High
female,group E,some high school,standard,completed,80,85,85,250,High
female,group D,some college,standard,none,98,100,99,297,High
male,group D,master's degree,standard,none,81,81,84,246,High
female,group B,some high school,standard,completed,60,70,74,204,Medium
female,group B,associate's degree,free/reduced,completed,76,94,87,257,High
male,group C,associate's degree,standard,completed,73,78,72,223,Medium
female,group C,associate's degree,standard,completed,96,96,99,291,High
female,group C,high school,standard,none,76,76,74,226,Medium
male,group E,associate's degree,free/reduced,completed,91,73,80,244,High
female,group C,some college,free/reduced,none,62,72,70,204,Medium
male,group D,some high school,free/reduced,completed,55,59,59,173,Low
female,group B,some high school,free/reduced,completed,74,90,88,252,High
male,group C,high school,standard,none,50,48,42,140,Low
male,group B,some college,standard,none,47,43,41,131,Low
male,group E,some college,standard,completed,81,74,71,226,Medium
female,group E,associate's degree,standard,completed,65,75,77,217,Medium
male,group E,some high school,standard,completed,68,51,57,176,Medium
female,group D,high school,free/reduced,none,73,92,84,249,High
male,group C,some college,standard,none,53,39,37,129,Low
female,group B,associate's degree,free/reduced,completed,68,77,80,225,Medium
male,group A,some high school,free/reduced,none,55,46,43,144,Low
female,group C,some college,standard,completed,87,89,94,270,High
male,group D,some high school,standard,none,55,47,44,146,Low
female,group E,some college,free/reduced,none,53,58,57,168,Low
male,group C,master's degree,standard,none,67,57,59,183,Medium
male,group C,associate's degree,standard,none,92,79,84,255,High
female,group B,some college,free/reduced,completed,53,66,73,192,Medium
male,group D,associate's degree,standard,none,81,71,73,225,Medium
male,group C,high school,free/reduced,none,61,60,55,176,Medium
male,group D,bachelor's degree,standard,none,80,73,72,225,Medium
female,group A,associate's degree,free/reduced,none,37,57,56,150,Low
female,group C,high school,standard,none,81,84,82,247,High
female,group C,associate's degree,standard,completed,59,73,72,204,Medium
male,group B,some college,free/reduced,none,55,55,47,157,Low
male,group D,associate's degree,standard,none,72,79,74,225,Medium
male,group D,high school,standard,none,69,75,71,215,Medium
male,group C,some college,standard,none,69,64,68,201,Medium
female,group C,bachelor's degree,free/reduced,none,50,60,59,169,Low
male,group B,some college,standard,completed,87,84,86,257,High
male,group D,some high school,standard,completed,71,69,68,208,Medium
male,group E,some college,standard,none,68,72,65,205,Medium
male,group C,master's degree,free/reduced,completed,79,77,75,231,Medium
female,group C,some high school,standard,completed,77,90,85,252,High
male,group C,associate's degree,free/reduced,none,58,55,53,166,Low
female,group E,associate's degree,standard,none,84,95,92,271,High
male,group D,some college,standard,none,55,58,52,165,Low
male,group E,bachelor's degree,free/reduced,completed,70,68,72,210,Medium
female,group D,some college,free/reduced,completed,52,59,65,176,Medium
male,group B,some college,standard,completed,69,77,77,223,Medium
female,group C,high school,free/reduced,none,53,72,64,189,Medium
female,group D,some high school,standard,none,48,58,54,160,Low
male,group D,some high school,standard,completed,78,81,86,245,High
female,group B,high school,standard,none,62,62,63,187,Medium
male,group D,some college,standard,none,60,63,59,182,Medium
female,group B,high school,standard,none,74,72,72,218,Medium
female,group C,high school,standard,completed,58,75,77,210,Medium
male,group B,high school,standard,completed,76,62,60,198,Medium
female,group D,some high school,standard,none,68,71,75,214,Medium
male,group A,some college,free/reduced,none,58,60,57,175,Medium
male,group B,high school,standard,none,52,48,49,149,Low
male,group D,bachelor's degree,standard,none,75,73,74,222,Medium
female,group B,some high school,free/reduced,completed,52,67,72,191,Medium
female,group C,bachelor's degree,free/reduced,none,62,78,79,219,Medium
male,group B,some college,standard,none,66,65,60,191,Medium
female,group B,some high school,free/reduced,none,49,58,55,162,Low
female,group B,high school,standard,none,66,72,70,208,Medium
female,group C,some college,free/reduced,none,35,44,43,122,Low
female,group A,some college,standard,completed,72,79,82,233,High
male,group E,associate's degree,standard,completed,94,85,82,261,High
female,group D,associate's degree,free/reduced,none,46,56,57,159,Low
female,group B,master's degree,standard,none,77,90,84,251,High
female,group B,high school,free/reduced,completed,76,85,82,243,High
female,group C,associate's degree,standard,completed,52,59,62,173,Low
male,group C,bachelor's degree,standard,completed,91,81,79,251,High
female,group B,some high school,standard,completed,32,51,44,127,Low
female,group E,some high school,free/reduced,none,72,79,77,228,Medium
female,group B,some college,standard,none,19,38,32,89,Low
male,group C,associate's degree,free/reduced,none,68,65,61,194,Medium
female,group C,master's degree,free/reduced,none,52,65,61,178,Medium
female,group B,high school,standard,none,48,62,60,170,Low
female,group D,some college,free/reduced,none,60,66,70,196,Medium
male,group D,high school,free/reduced,none,66,74,69,209,Medium
male,group E,some high school,standard,completed,89,84,77,250,High
female,group B,high school,standard,none,42,52,51,145,Low
female,group E,associate's degree,free/reduced,completed,57,68,73,198,Medium
male,group D,high school,standard,none,70,70,70,210,Medium
female,group E,associate's degree,free/reduced,none,70,84,81,235,High
male,group E,some college,standard,none,69,60,54,183,Medium
female,group C,associate's degree,standard,none,52,55,57,164,Low
male,group C,some high school,standard,completed,67,73,68,208,Medium
male,group C,some high school,standard,completed,76,80,73,229,Medium
female,group E,associate's degree,standard,none,87,94,95,276,High
female,group B,some college,standard,none,82,85,87,254,High
female,group C,some college,standard,none,73,76,78,227,Medium
male,group A,some college,free/reduced,none,75,81,74,230,Medium
female,group D,some college,free/reduced,none,64,74,75,213,Medium
female,group E,high school,free/reduced,none,41,45,40,126,Low
male,group C,high school,standard,none,90,75,69,234,High
male,group B,bachelor's degree,standard,none,59,54,51,164,Low
male,group A,some high school,standard,none,51,31,36,118,Low
male,group A,high school,free/reduced,none,45,47,49,141,Low
female,group C,master's degree,standard,completed,54,64,67,185,Medium
male,group E,some high school,standard,completed,87,84,76,247,High
female,group C,high school,standard,none,72,80,83,235,High
male,group B,some high school,standard,completed,94,86,87,267,High
female,group A,bachelor's degree,standard,none,45,59,64,168,Low
male,group D,bachelor's degree,free/reduced,completed,61,70,76,207,Medium
female,group B,high school,free/reduced,none,60,72,68,200,Medium
female,group C,some high school,standard,none,77,91,88,256,High
female,group A,some high school,standard,completed,85,90,92,267,High
female,group D,bachelor's degree,free/reduced,none,78,90,93,261,High
male,group E,some college,free/reduced,completed,49,52,51,152,Low
female,group B,high school,free/reduced,none,71,87,82,240,High
female,group C,some high school,free/reduced,none,48,58,52,158,Low
male,group C,high school,standard,none,62,67,58,187,Medium
female,group C,associate's degree,free/reduced,completed,56,68,70,194,Medium
female,group C,some high school,standard,none,65,69,76,210,Medium
female,group D,some high school,free/reduced,completed,69,86,81,236,High
male,group B,some high school,standard,none,68,54,53,175,Medium
female,group A,some college,free/reduced,none,61,60,57,178,Medium
female,group C,bachelor's degree,free/reduced,completed,74,86,89,249,High
male,group A,bachelor's degree,standard,none,64,60,58,182,Medium
female,group B,high school,standard,completed,77,82,89,248,High
male,group B,some college,standard,none,58,50,45,153,Low
female,group C,high school,standard,completed,60,64,74,198,Medium
male,group E,high school,standard,none,73,64,57,194,Medium
female,group A,high school,standard,completed,75,82,79,236,High
male,group B,associate's degree,free/reduced,completed,58,57,53,168,Low
female,group C,associate's degree,standard,none,66,77,73,216,Medium
female,group D,high school,free/reduced,none,39,52,46,137,Low
male,group C,some high school,standard,none,64,58,51,173,Low
female,group B,high school,free/reduced,completed,23,44,36,103,Low
male,group B,some college,free/reduced,completed,74,77,76,227,Medium
female,group D,some high school,free/reduced,completed,40,65,64,169,Low
male,group E,master's degree,standard,none,90,85,84,259,High
male,group C,master's degree,standard,completed,91,85,85,261,High
male,group D,high school,standard,none,64,54,50,168,Low
female,group C,high school,standard,none,59,72,68,199,Medium
male,group D,associate's degree,standard,none,80,75,69,224,Medium
male,group C,master's degree,standard,none,71,67,67,205,Medium
female,group A,high school,standard,none,61,68,63,192,Medium
female,group E,some college,standard,none,87,85,93,265,High
male,group E,some high school,standard,none,82,67,61,210,Medium
male,group C,some high school,standard,none,62,64,55,181,Medium
female,group B,bachelor's degree,standard,none,97,97,96,290,High
male,group B,some college,free/reduced,none,75,68,65,208,Medium
female,group C,bachelor's degree,standard,none,65,79,81,225,Medium
male,group B,high school,standard,completed,52,49,46,147,Low
male,group C,associate's degree,free/reduced,none,87,73,72,232,Medium
female,group C,associate's degree,standard,none,53,62,53,168,Low
female,group E,master's degree,free/reduced,none,81,86,87,254,High
male,group D,bachelor's degree,free/reduced,completed,39,42,38,119,Low
female,group C,some college,standard,completed,71,71,80,222,Medium
male,group C,associate's degree,standard,none,97,93,91,281,High
male,group D,some college,standard,completed,82,82,88,252,High
male,group C,high school,free/reduced,none,59,53,52,164,Low
male,group B,associate's degree,standard,none,61,42,41,144,Low
male,group E,associate's degree,free/reduced,completed,78,74,72,224,Medium
male,group C,associate's degree,free/reduced,none,49,51,51,151,Low
male,group B,high school,standard,none,59,58,47,164,Low
female,group C,some college,standard,completed,70,72,76,218,Medium
male,group B,associate's degree,standard,completed,82,84,78,244,High
male,group E,associate's degree,free/reduced,none,90,90,82,262,High
female,group C,bachelor's degree,free/reduced,none,43,62,61,166,Low
male,group C,some college,free/reduced,none,80,64,66,210,Medium
male,group D,some college,standard,none,81,82,84,247,High
male,group C,some high school,standard,none,57,61,54,172,Low
female,group D,some high school,standard,none,59,72,80,211,Medium
female,group D,associate's degree,standard,none,64,76,74,214,Medium
male,group C,bachelor's degree,standard,completed,63,64,66,193,Medium
female,group E,bachelor's degree,standard,completed,71,70,70,211,Medium
female,group B,high school,free/reduced,none,64,73,71,208,Medium
male,group D,bachelor's degree,free/reduced,none,55,46,44,145,Low
female,group E,associate's degree,standard,none,51,51,54,156,Low
female,group C,associate's degree,standard,completed,62,76,80,218,Medium
female,group E,associate's degree,standard,completed,93,100,95,288,High
male,group C,high school,free/reduced,none,54,72,59,185,Medium
female,group D,some college,free/reduced,none,69,65,74,208,Medium
male,group D,high school,free/reduced,none,44,51,48,143,Low
female,group E,some college,standard,completed,86,85,91,262,High
female,group E,associate's degree,standard,none,85,92,85,262,High
female,group A,master's degree,free/reduced,none,50,67,73,190,Medium
male,group D,some high school,standard,completed,88,74,75,237,High
female,group E,associate's degree,standard,none,59,62,69,190,Medium
female,group E,some high school,free/reduced,none,32,34,38,104,Low
male,group B,high school,free/reduced,none,36,29,27,92,Low
female,group B,some high school,free/reduced,completed,63,78,79,220,Medium
male,group D,associate's degree,standard,completed,67,54,63,184,Medium
female,group D,some high school,standard,completed,65,78,82,225,Medium
male,group D,master's degree,standard,none,85,84,89,258,High
female,group C,master's degree,standard,none,73,78,74,225,Medium
female,group A,high school,free/reduced,completed,34,48,41,123,Low
female,group D,bachelor's degree,free/reduced,completed,93,100,100,293,High
female,group D,some high school,free/reduced,none,67,84,84,235,High
male,group D,some college,standard,none,88,77,77,242,High
male,group B,high school,standard,none,57,48,51,156,Low
female,group D,some college,standard,completed,79,84,91,254,High
female,group C,bachelor's degree,free/reduced,none,67,75,72,214,Medium
male,group E,bachelor's degree,standard,completed,70,64,70,204,Medium
male,group D,bachelor's degree,free/reduced,none,50,42,48,140,Low
female,group A,some college,standard,none,69,84,82,235,High
female,group C,bachelor's degree,standard,completed,52,61,66,179,Medium
female,group C,bachelor's degree,free/reduced,completed,47,62,66,175,Medium
female,group B,associate's degree,free/reduced,none,46,61,55,162,Low
female,group E,some college,standard,none,68,70,66,204,Medium
male,group E,bachelor's degree,standard,completed,100,100,100,300,High
female,group C,high school,standard,none,44,61,52,157,Low
female,group C,associate's degree,standard,completed,57,77,80,214,Medium
male,group B,some college,standard,completed,91,96,91,278,High
male,group D,high school,free/reduced,none,69,70,67,206,Medium
female,group C,high school,free/reduced,none,35,53,46,134,Low
male,group D,high school,standard,none,72,66,66,204,Medium
female,group B,associate's degree,free/reduced,none,54,65,65,184,Medium
male,group D,high school,free/reduced,none,74,70,69,213,Medium
male,group E,some high school,standard,completed,74,64,60,198,Medium
male,group E,associate's degree,free/reduced,none,64,56,52,172,Low
female,group D,high school,free/reduced,completed,65,61,71,197,Medium
male,group E,associate's degree,free/reduced,completed,46,43,44,133,Low
female,group C,some high school,free/reduced,none,48,56,51,155,Low
male,group C,some college,free/reduced,completed,67,74,70,211,Medium
male,group D,some college,free/reduced,none,62,57,62,181,Medium
male,group D,associate's degree,free/reduced,completed,61,71,73,205,Medium
male,group C,bachelor's degree,free/reduced,completed,70,75,74,219,Medium
male,group C,associate's degree,standard,completed,98,87,90,275,High
male,group D,some college,free/reduced,none,70,63,58,191,Medium
male,group A,associate's degree,standard,none,67,57,53,177,Medium
female,group E,high school,free/reduced,none,57,58,57,172,Low
male,group D,some college,standard,completed,85,81,85,251,High
male,group D,some high school,standard,completed,77,68,69,214,Medium
male,group C,master's degree,free/reduced,completed,72,66,72,210,Medium
female,group D,master's degree,standard,none,78,91,96,265,High
male,group C,high school,standard,none,81,66,64,211,Medium
male,group A,some high school,free/reduced,completed,61,62,61,184,Medium
female,group B,high school,standard,none,58,68,61,187,Medium
female,group C,associate's degree,standard,none,54,61,58,173,Low
male,group B,high school,standard,none,82,82,80,244,High
female,group D,some college,free/reduced,none,49,58,60,167,Low
male,group B,some high school,free/reduced,completed,49,50,52,151,Low
female,group E,high school,free/reduced,completed,57,75,73,205,Medium
male,group E,high school,standard,none,94,73,71,238,High
female,group D,some college,standard,completed,75,77,83,235,High
female,group E,some high school,free/reduced,none,74,74,72,220,Medium
male,group C,high school,standard,completed,58,52,54,164,Low
female,group C,some college,standard,none,62,69,69,200,Medium
male,group E,associate's degree,standard,none,72,57,62,191,Medium
male,group C,some college,standard,none,84,87,81,252,High
female,group D,master's degree,standard,none,92,100,100,292,High
female,group D,high school,standard,none,45,63,59,167,Low
male,group C,high school,standard,none,75,81,71,227,Medium
female,group A,some college,standard,none,56,58,64,178,Medium
female,group D,some high school,free/reduced,none,48,54,53,155,Low
female,group E,associate's degree,standard,none,100,100,100,300,High
female,group C,some high school,free/reduced,completed,65,76,75,216,Medium
male,group D,some college,standard,none,72,57,58,187,Medium
female,group D,some college,standard,none,62,70,72,204,Medium
male,group A,some high school,standard,completed,66,68,64,198,Medium
male,group C,some college,standard,none,63,63,60,186,Medium
female,group E,associate's degree,standard,none,68,76,67,211,Medium
female,group B,bachelor's degree,standard,none,75,84,80,239,High
female,group D,bachelor's degree,standard,none,89,100,100,289,High
male,group C,some high school,standard,completed,78,72,69,219,Medium
female,group A,high school,free/reduced,completed,53,50,60,163,Low
female,group D,some college,free/reduced,none,49,65,61,175,Medium
female,group A,some college,standard,none,54,63,67,184,Medium
female,group C,some college,standard,completed,64,82,77,223,Medium
male,group B,some college,free/reduced,completed,60,62,60,182,Medium
male,group C,associate's degree,standard,none,62,65,58,185,Medium
male,group D,high school,standard,completed,55,41,48,144,Low
female,group C,associate's degree,standard,none,91,95,94,280,High
female,group B,high school,free/reduced,none,8,24,23,55,Low
male,group D,some high school,standard,none,81,78,78,237,High
male,group B,some high school,standard,completed,79,85,86,250,High
female,group A,some college,standard,completed,78,87,91,256,High
female,group C,some high school,standard,none,74,75,82,231,Medium
male,group A,high school,standard,none,57,51,54,162,Low
female,group C,associate's degree,standard,none,40,59,51,150,Low
male,group E,some high school,standard,completed,81,75,76,232,Medium
female,group A,some high school,free/reduced,none,44,45,45,134,Low
female,group D,some college,free/reduced,completed,67,86,83,236,High
male,group E,high school,free/reduced,completed,86,81,75,242,High
female,group B,some high school,standard,completed,65,82,78,225,Medium
female,group D,associate's degree,free/reduced,none,55,76,76,207,Medium
female,group D,bachelor's degree,free/reduced,none,62,72,74,208,Medium
male,group A,high school,standard,none,63,63,62,188,Medium
female,group E,master's degree,standard,completed,88,99,95,282,High
male,group C,high school,free/reduced,none,62,55,55,172,Low
female,group C,high school,free/reduced,completed,59,71,65,195,Medium
female,group D,some college,standard,completed,68,78,77,223,Medium
female,group D,some college,free/reduced,none,77,86,86,249,High
